GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,iso3,Latitude,Longitude,Plant age (years),capacity_ttpa,n_operating_units,Main production equipment,litpop_value_usd,litpop_sum_25km_usd,litpop_ncells_25km,litpop_cell_lat,litpop_cell_lon,match_distance_km
P100001062088,Bhagyalaxmi Metals Mul steel plant,Bhagyalaxmi Metals Pvt Ltd,Bhagyalaxmi Metals Pvt Ltd [100.0%],India,Asia Pacific,IND,20.088919,79.71792,,,0,DRI; IF,20100548.68457569,203318570.1716565,24,20.125,79.70833333,4.135024231602367
P100000120512,BMM Ispat Danapur steel plant,BMM Ispat Ltd,JSW Projects Ltd [58.5%]; natural person(s) [41.5%],India,Asia Pacific,IND,15.16972,76.37971,20.0,2208.0,1,BF; BOF; DRI; EAF; IF,326466748.184155,3195093655.9004097,25,15.20833333,76.375,4.323259137943748
P100001061667,BPA Metallics Raigarh steel plant,BPA Metallics Pvt Ltd,BPA Metallics Pvt Ltd [100.0%],India,Asia Pacific,IND,21.926993,83.374089,,,0,DRI; Steel other/unspecified,400367384.08294696,3990742828.780345,24,21.95833333,83.375,3.4861569711234357
P100000120125,Cangzhou China Railway Equipment Manufacture Material Co Ltd,Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,China Railway Materials Group Holdings Ltd [49.0%]; Shuangyao Investment Co Ltd [25.0%]; Hebei Xinhua United Metallurgical Holding Group Co Ltd [15.6%]; Sinogiant Steel HOLDINGS Group Ltd [9.4%]; unknown [1.0%],China,Asia Pacific,CHN,38.289221,117.814367,20.0,7500.0,1,BF; BOF,477468708.0493724,5678661164.6290045,16,38.29166667,117.79166667,1.9997433364004984
P100000120385,Cangzhou Lingang Sanling Metal Co Ltd,Cangzhou Lingang Sanling Metal Co Ltd,Cangzhou Lingang Sanling Metal Co Ltd [100.0%],China,Asia Pacific,CHN,38.311738,117.457779,31.0,1000.0,1,EAF,90759574.23978685,11494109048.720526,29,38.29166667,117.45833333,2.2323572768746547
P100001082544,Captain Steel Debipur steel plant,Captain Steel India Ltd,Captain Steel India Ltd [100.0%],India,Asia Pacific,IND,23.782149607591688,86.83591234561024,4.0,208.0,1,IF,3502964540.9216847,57609016229.041954,26,23.79166667,86.875,4.115523921874032
P100001023577,Captain Steel Garbeta steel plant,Captain Steel India Ltd,Captain Steel India Ltd [100.0%],India,Asia Pacific,IND,22.855859,87.345018,0.0,,0,Iron other/unspecified; Steel other/unspecified,218626361.52550003,2882710853.843904,25,22.875,87.375,3.73717149571149
P100001064089,Changli Xingguo Precision Machinery Co Ltd,Changli Xingguo Precision Machinery Co Ltd,Changli Xingguo Precision Machinery Co Ltd [100.0%],China,Asia Pacific,CHN,39.704921,118.897417,30.47,0.0,1,BF,853581286.6142415,16624354555.063276,30,39.70833333,118.875,1.9548449143265378
P100000120194,Changshu Longteng Special Steel Co Ltd,Changshu Longteng Special Steel Co Ltd,Changshu Longteng Special Steel Co Ltd [100.0%],China,Asia Pacific,CHN,31.723833,120.835685,31.75,3203.0,1,BF; BOF; EAF,9736930825.62187,146741063498.04495,21,31.70833333,120.875,4.098756949860377
P100000120265,Changzhi Xingbao Steel Co Ltd,Lucheng Xingbao Iron & Steel Co Ltd,Lucheng Xingbao Iron & Steel Co Ltd [100.0%],China,Asia Pacific,CHN,36.332449,113.15509,22.85,1900.0,1,BF; BOF,2719454994.077153,51965769924.3065,28,36.29166667,113.125,5.275732068126823
P100000120201,Changzhou Eastern Special Steel Co Ltd,Changzhou Dongfang Special Steel Co Ltd,Changzhou Dongrun Special Steel Co Ltd [90.0%]; natural person(s) [10.0%],China,Asia Pacific,CHN,31.602554,119.724256,16.09,3300.0,1,EAF; BF; BOF,1518567272.309646,75968188617.05792,25,31.625,119.70833333,2.915962473715396
